;2;Januar;Anne Francis;Anne Francis
;2;Januar;Pete Postlethwaite;Pete Postlethwaite
;3;Januar;Eva Strittmatter;Eva Strittmatter
;4;Januar;Hadayatullah Hübsch;Hadayatullah Hübsch
;4;Januar;Gerry Rafferty;Gerry Rafferty
5;Januar;Willi Arens;Wilhelm Friedrich Arens
;7;Januar;Mick Werup;Mick Werup
8;Januar;Jiří Dienstbier (Politiker, 1937);Jiří Dienstbier
;9;Januar;Peter Yates;Peter Yates
1;1;Januar;Imo Moszkowicz;Imo Moszkowicz
1;2;Januar;Didier Bonnet;Didier Bonnet
1;3;Januar;Hellmut Lange;Hellmut Lange
1;4;Januar;Stephanie Glaser;Stephanie Glaser
1;4;Januar;Siegfried Maruhn;Siegfried Maruhn
1;5;Januar;Pierre Louis-Dreyfus;Pierre Louis-Dreyfus
1;7;Januar;Marie-Thérèse Ibos;Marie-Thérèse Ibos
1;8;Januar;Sargent Shriver;Sargent Shriver
2;1;Januar;Charles Zwolsman senior;Charles Zwolsman senior
2;2;Januar;Pak Wanso;Pak Wanso
2;4;Januar;Bernd Eichinger;Bernd Eichinger
2;4;Januar;Peter-Paul Zahl;Peter-Paul Zahl
2;6;Januar;Günter Tembrock;Günter Tembrock
27;Januar;Alexander Stephan (Schauspieler);Alexander Stephan
2;7;Januar;Fritz Raff;Fritz Raff
3;0;Januar;Ajahn Maha Bua Nanasampanno;Ajahn Maha Bua Nanasampanno
30;Januar;John Barry (Filmkomponist);John Barry
;3;Februar;Herbert Gadsch;Herbert Gadsch
;3;Februar;Édouard Glissant;Édouard Glissant
3;Februar;Maria Schneider (Schauspielerin);Maria Schneider
;6;Februar;Gary Moore;Gary Moore
1;2;Februar;Peter Alexander;Peter Alexander
1;3;Februar;Manuel Esperón;Manuel Esperón
1;5;Februar;Herbert Ammer;Herbert Ammer
16;Februar;Matti Aura (Politiker, 1943);Matti Ilmari Aura
1;8;Februar;Cayle Chernin;Cayle Chernin
1;9;Februar;Dietrich Stobbe;Dietrich Stobbe
2;0;Februar;Helmut Ringelmann;Helmut Ringelmann
2;5;Februar;Oswald Rathfelder;Oswald Rathfelder
2;5;Februar;Suze Rotolo;Suze Rotolo
2;7;Februar;Necmettin Erbakan;Necmettin Erbakan
2;8;Februar;Annie Girardot;Annie Girardot
2;8;Februar;Jane Russell;Jane Russell
;6;März;Agnes-Marie Grisebach;Agnes-Marie Grisebach
1;0;März;Günter Gollasch;Günter Gollasch
1;0;März;Ralf Schüler;Ralf Schüler
1;2;März;Günter Amendt;Günter Amendt
1;2;März;Dietmar Mues;Dietmar Mues
13;März;Andreas Franz (Schriftsteller);Andreas Franz
15. März]]: [[Nate Dogg]], US-amerikanischer Sänger und Musiker (* [[1969]]);Joachim Auth
15. März]]: [[Nate Dogg]], US-amerikanischer Sänger und Musiker (* [[1969]])
1;8;März;Warren Christopher;Warren Christopher
1;8;März;Wolfgang Spier;Wolfgang Spier
1;9;März;Patrick Vincent Ahern;Patrick Vincent Ahern
19;März;Knut (Eisbär);Knut
1;9;März;Gustav Lantschner;Gustav Lantschner
2;0;März;Kurt Hauenstein;Kurt Hauenstein
2;1;März;Nikolai Jefimowitsch Andrianow;Nikolai Jefimowitsch Andrianow
2;3;März;José Argüelles;José Argüelles
2;3;März;Elizabeth Taylor;Elizabeth Taylor
2;5;März;Aldo Donati;Aldo Donati
2;9;März;Hans-Jürgen Ambrosius;Hans-Jürgen Ambrosius
3;0;März;Kurt Weidemann;Kurt Weidemann
4;April;John Adler;John H. Adler
;4;April;Witta Pohl;Witta Pohl
;4;April;Bronisław Kazimierz Przybylski;Bronisław Kazimierz Przybylski
;5;April;Baruch Samuel Blumberg;Baruch Samuel Blumberg
;8;April;Eva Afuhs;Eva Afuhs
;9;April;Sidney Lumet;Sidney Lumet
1;1;April;La Esterella;La Esterella
1;1;April;Graciela Naranjo;Graciela Naranjo
1;4;April;William Lipscomb;William Lipscomb
1;9;April;Grete Waitz;Grete Waitz
2;0;April;Antonio Tauriello;Antonio Tauriello
2;1;April;Harold Garfinkel;Harold Garfinkel
2;2;April;Siegfried Voß;Siegfried Voß
2;4;April;Marie-France Pisier;Marie-France Pisier
2;7;April;Willem Albert Wagenaar;Willem Albert Wagenaar
3;0;April;Ernesto Sabato;Ernesto Sabato
;1;Mai;Claude Bobrowski;Claude Bobrowski
;1;Mai;Gene Gossage;Gene Gossage
;2;Mai;Osama bin Laden;Osama bin Laden
;5;Mai;Arthur Laurents;Arthur Laurents
;7;Mai;Severiano Ballesteros;Severiano Ballesteros
;7;Mai;Willard Boyle;Willard Boyle
;7;Mai;Gunter Sachs;Gunter Sachs
1;3;Mai;Bernard Greenhouse;Bernard Greenhouse
1;9;Mai;Garret FitzGerald;Garret FitzGerald
20;Mai;Randy Savage;Randall Mario Poffo
2;3;Mai;Fritz Schediwy;Fritz Schediwy
2;5;Mai;Leonora Carrington;Leonora Carrington
2;7;Mai;Gil Scott-Heron;Gil Scott-Heron
2;8;Mai;Alys Robi;Alys Robi
2;8;Mai;Luigi Valenzano;Luigi Valenzano
3;0;Mai;Biagio Agnes;Biagio Agnes
3;1;Mai;Hans Keilson;Hans Keilson
3;1;Mai;Andy Robustelli;Andy Robustelli
3;1;Mai;Klaus Dieter Seybold;Klaus Dieter Seybold
;2;Juni;Erika Streit;Erika Streit
;3;Juni;James Arness;James Arness
;3;Juni;John Henry Johnson;John Henry Johnson
;3;Juni;Jack Kevorkian;Jack Kevorkian
;3;Juni;José Rosinski;José Rosinski
;4;Juni;Dimi Mint Abba;Dimi Mint Abba
;4;Juni;Curth Flatow;Curth Flatow
;7;Juni;Jorge Semprún;Jorge Semprún
1;0;Juni;Bernhard Heisig;Bernhard Heisig
1;2;Juni;René Audet;René Audet
1;2;Juni;John Hospers;John Hospers
1;4;Juni;Milivoj Ašner;Milivoj Ašner
1;4;Juni;Peter Schamoni;Peter Schamoni
18;Juni;Jelena Georgijewna Bonner;Jelena Bonner
1;8;Juni;Clarence Clemons;Clarence Clemons
2;3;Juni;Peter Falk;Peter Falk
2;3;Juni;Christiane Desroches-Noblecourt;Christiane Desroches-Noblecourt
2;5;Juni;Friedrich Adrario;Friedrich Adrario
3;0;Juni;Emil Petrovics;Emil Petrovics
3;0;Juni;Georg Sterzinsky;Georg Sterzinsky
;4;Juli;Otto von Habsburg;Otto von Habsburg
;5;Juli;Mika Myllylä;Mika Myllylä
;5;Juli;Cy Twombly;Cy Twombly
;8;Juli;Betty Ford;Betty Ford
;8;Juli;Gordon Krunnfusz;Gordon Krunnfusz
1;0;Juli;Pierrette Alarie;Pierrette Alarie
1;1;Juli;Hans-Georg Arlt;Hans-Georg Arlt
1;3;Juli;Heinz Reincke;Heinz Reincke
1;4;Juli;Leo Kirch;Leo Kirch
1;5;Juli;Friedrich Wilhelm Schnitzler;Friedrich Wilhelm Schnitzler
17;Juli;Juan Arza;Juan Arza Íñigo
2;0;Juli;Lucian Freud;Lucian Freud
2;2;Juli;Tore Eikeland;Tore Eikeland
2;3;Juli;Amy Winehouse;Amy Winehouse
2;5;Juli;Michael Cacoyannis;Michael Cacoyannis
2;7;Juli;Ágota Kristóf;Ágota Kristóf
2;8;Juli;Bernd Clüver;Bernd Clüver
2;9;Juli;Nella Martinetti;Nella Martinetti
;2;August;Baruj Benacerraf;Baruj Benacerraf
;3;August;Louise Behrend;Louise Behrend
4;August;Hans Barth (Wissenschaftsautor);Hans Barth
6;August;6.;7. August
;9;August;Dietmar Sauermann;Dietmar Sauermann
;9;August;Werner W. Wallroth;Werner W. Wallroth
1;1;August;Bob Zimny;Bob Zimny
1;4;August;Friedrich Schoenfelder;Friedrich Schoenfelder
1;6;August;Verena Wiet;Verena Wiet
18;August;Ronny (Schlagersänger);Ronny
1;9;August;Raúl Ruiz;Raúl Ruiz
2;2;August;Loriot;Loriot
22;August;Ashford & Simpson;Nickolas Ashford
2;4;August;Josy Doyon-Hofstetter;Josy Doyon-Hofstetter
3;1;August;Rosel Zech;Rosel Zech
3;1;August;Wade Belak;Wade Belak
;2;September;Herbert Mataré;Herbert Mataré
3;September;Lara Andriessen;Lara Petra Andriessen
;4;September;Lee Roy Selmon;Lee Roy Selmon
;6;September;Hans Apel;Hans Apel
;7;September;Pavol Demitra;Pavol Demitra
;9;September;Hassan Aref;Hassan Aref
;9;September;Valentin Braitenberg;Valentin Braitenberg
;9;September;Horst Fuhrmann;Horst Fuhrmann
1;0;September;Cliff Robertson;Cliff Robertson
1;1;September;Karl-Eddi Armgort;Karl-Eddi Armgort
1;2;September;Alexander Saidgerejewitsch Galimow;Alexander Saidgerejewitsch Galimow
13;September;Arno Fischer (Fotograf);Arno Fischer
1;3;September;Helmut Frenz;Helmut Frenz
13;September;Richard Hamilton (Künstler);Richard Hamilton
1;8;September;Kurt Sanderling;Kurt Sanderling
1;9;September;Ctirad Kohoutek;Ctirad Kohoutek
2;1;September;Paulette Dubost;Paulette Dubost
2;4;September;Paul Mikat;Paul Mikat
2;5;September;Wangari Maathai;Wangari Maathai
2;8;September;Maple Batalia;Maple Batalia
2;8;September;Fernando Bernabé Agüero Rocha;Fernando Bernabé Agüero Rocha
2;9;September;Hella Haasse;Hella Haasse
2;9;September;Philip Hannan;Philip Hannan
3;0;September;Ralph M. Steinman;Ralph M. Steinman
;2;Oktober;Peter Przygodda;Peter Przygodda
;5;Oktober;Steve Jobs;Steve Jobs
10;Oktober;Ray Aghayan;Gorgen Ray Aghayan
1;1;Oktober;Jerachmi’el Assa;Jerachmi’el Assa
1;2;Oktober;Heinz Bennent;Heinz Bennent
1;2;Oktober;Dennis Ritchie;Dennis Ritchie
1;5;Oktober;Ueli Prager;Ueli Prager
1;6;Oktober;Dan Wheldon;Dan Wheldon
1;7;Oktober;Manfred Gerlach;Manfred Gerlach
1;8;Oktober;Friedrich Kittler;Friedrich Kittler
2;0;Oktober;Muammar al-Gaddafi;Muammar al-Gaddafi
2;2;Oktober;Edmundo Ros;Edmundo Ros
2;3;Oktober;John McCarthy;John McCarthy
2;3;Oktober;Marco Simoncelli;Marco Simoncelli
2;8;Oktober;Jiří Gruša;Jiří Gruša
3;1;Oktober;Flórián Albert;Flórián Albert
;1;November;Heinz Ludwig Arnold;Heinz Ludwig Arnold
;4;November;Rudolf Meimberg;Rudolf Meimberg
;6;November;Helmut Polensky;Helmut Polensky
;7;November;Lykke Aresin;Lykke Aresin
;7;November;Joe Frazier;Joe Frazier
;7;November;Andrea True;Andrea True
;9;November;Har Gobind Khorana;Har Gobind Khorana
1;4;November;Franz Josef Degenhardt;Franz Josef Degenhardt
1;4;November;Jackie Leven;Jackie Leven
1;9;November;Karl Aage Præst;Karl Aage Præst
2;0;November;Russell Garcia;Russell Garcia
2;0;November;Mario Martiradonna;Mario Martiradonna
2;2;November;Georg Kreisler;Georg Kreisler
2;2;November;Lynn Margulis;Lynn Margulis
2;4;November;Ludwig Hirsch;Ludwig Hirsch
25;November;Wassili Iwanowitsch Alexejew;Wassili Alexejew
2;7;November;Ken Russell;Ken Russell
3;0;November;Zdeněk Miler;Zdeněk Miler
;1;Dezember;Christa Wolf;Christa Wolf
4;Dezember;Sócrates (Fußballspieler);Sócrates
;4;Dezember;Hubert Sumlin;Hubert Sumlin
;5;Dezember;Peter Gethin;Peter Gethin
;7;Dezember;Josip Barković;Josip Barković
;7;Dezember;Harry Morgan;Harry Morgan
;8;Dezember;Gilbert Adair;Gilbert Adair
1;1;Dezember;Vasile Arvinte;Vasile Arvinte
1;1;Dezember;Hans Heinz Holz;Hans Heinz Holz
1;3;Dezember;Anthony Amato;Anthony Amato
1;3;Dezember;Klaus-Dieter Sieloff;Klaus-Dieter Sieloff
1;5;Dezember;Walter Giller;Walter Giller
1;5;Dezember;Christopher Hitchens;Christopher Hitchens
1;6;Dezember;Mark Kopytman;Mark Kopytman
1;7;Dezember;Cesária Évora;Cesária Évora
1;7;Dezember;Kim Jong-il;Kim Jong-il
1;8;Dezember;Diego Febles;Diego Febles
1;8;Dezember;Václav Havel;Václav Havel
1;9;Dezember;George Athor Deng Dut;George Athor Deng Dut
1;9;Dezember;Horst-Eberhard Richter;Horst-Eberhard Richter
1;9;Dezember;Erwin Wirschaz;Erwin Wirschaz
2;1;Dezember;Jürgen Hentsch;Jürgen Hentsch
21;Dezember;Werner Otto (Unternehmer);Werner Otto
2;4;Dezember;Johannes Heesters;Johannes Heesters
26;Dezember;Kennan Adeang;Kennan Ranibok Adeang
2;6;Dezember;James Rizzi;James Rizzi
2;7;Dezember;Michael Dummett;Michael Dummett
2;9;Dezember;Leopold Hawelka;Leopold Hawelka
